City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,malango,-2.9627,119.9001,21.54,98,98,0.26,ID,1682934279
110,cabedelo,-6.9811,-34.8339,24.37,70,50,3.34,BR,1682934280
111,choyr,46.3611,108.3611,19.6,18,100,8.19,MN,1682934281
112,port elizabeth,-33.918,25.5701,27.28,43,0,4.63,ZA,1682934281
113,papatowai,-46.5619,169.4708,10.91,95,100,3.44,NZ,1682934282
114,jumilla,38.4792,-1.325,22.2,49,0,1.97,ES,1682933846
115,east london,-33.0153,27.9116,22.51,43,93,1.75,ZA,1682934283
116,puerto baquerizo moreno,-0.9,-89.6,26.1,78,8,0.72,EC,1682934283
117,utrik,11.2278,169.8474,27.15,85,42,9.49,MH,1682934284
118,qaqortoq,60.7167,-46.0333,-1.94,55,68,3.56,GL,1682934285
119,hawaiian paradise park,19.5933,-154.9731,21.13,94,100,4.12,US,1682934285
120,al jawf,29.5,38.75,23.43,20,0,1.09,SA,1682934286
121,udachny,66.4167,112.4,1.6,90,100,11.44,RU,1682934287
122,moab,38.5733,-109.5498,17.49,27,37,2.64,US,1682934287
123,juba,4.8517,31.5825,27.24,60,99,0.5,SS,1682934288
124,touros,-5.1989,-35.4608,26.67,77,30,3.63,BR,1682934288
125,belel,7.05,14.4333,26.64,44,83,2.14,CM,1682934289
126,kirakira,-10.4544,161.9205,27.87,82,100,5.33,SB,1682934290
127,tadine,-21.55,167.8833,24.05,79,100,4.09,NC,1682934290
128,tateyama,34.9833,139.8667,17.79,68,82,5.62,JP,1682934291
129,zouerate,22.7187,-12.4521,30.75,15,0,6.0,MR,1682934291
130,corinto,37.9407,22.9573,16.61,66,100,0.79,GR,1682934292
131,baise city,23.8997,106.6133,29.34,50,92,4.75,CN,1682934293
132,paracuru,-3.41,-39.0306,23.95,91,100,2.9,BR,1682934293
133,hamilton,39.1834,-84.5333,7.09,82,100,6.17,US,1682934294
134,atafu village,-8.5421,-172.5159,29.12,75,74,6.13,TK,1682934294
135,yeniseysk,58.4497,92.1703,3.38,76,100,2.86,RU,1682934295
136,christchurch,-43.5333,172.6333,14.95,93,100,1.54,NZ,1682934103
137,saint-gaudens,43.0833,0.6667,15.01,89,100,2.22,FR,1682934297
138,olinda,-8.0089,-34.8553,23.85,94,40,1.54,BR,1682934297
139,hadibu,12.65,54.0333,30.9,60,83,1.14,YE,1682934298
140,luderitz,-26.6481,15.1594,20.44,51,1,4.79,NA,1682934298
141,tiksi,71.6872,128.8694,-2.42,92,100,3.4,RU,1682934299
142,tsiombe,-25.3,45.4833,21.23,80,78,4.03,MG,1682934299
143,kenai,60.5544,-151.2583,5.05,76,100,3.09,US,1682934300
144,fort bragg,35.139,-79.006,11.75,63,0,4.63,US,1682934278
145,sangueya,10.7,-14.3667,30.55,53,29,3.08,GN,1682934301
146,egilsstadir,65.2653,-14.3948,0.95,69,75,1.54,IS,1682934302
147,yanchep,-31.55,115.6833,21.07,72,0,5.58,AU,1682934303
148,minggang,32.4586,114.0486,24.8,34,2,6.27,CN,1682934303
149,port alfred,-33.5906,26.891,23.99,63,81,0.45,ZA,1682934304
150,la ronge,55.1001,-105.2842,2.14,60,20,3.09,CA,1682934305
151,namibe,-15.1961,12.1522,26.34,75,19,3.84,AO,1682934305
